Root	SpeakerID	Component	Group	Age	Gender	CEF	DialectRegion	Duration (seconds)	Duration (days)
fn000105	N000050	comp-p	1	12	F		N2c	290.8356	0.003366
fn000107	N000054	comp-p	1	11	F		N2c	403.4834	0.004670
fn000109	N000051	comp-p	1	11	F		N2c	259.7267	0.003006
fn000111	N000052	comp-p	1	11	M		N2c	283.8359	0.003285
fn000113	N000053	comp-p	1	11	F		N2c	288.8863	0.003344
fn000116	N000055	comp-p	1	9	M		N4a	335.5982	0.003884
fn000118	N000056	comp-p	1	9	M		N4a	327.7208	0.003793
fn000120	N000057	comp-p	1	9	F		N4a	449.9609	0.005208
fn000122	N000058	comp-p	1	9	F		N4a	344.1866	0.003984
fn000124	N000059	comp-p	1	8	F		N4a	426.7149	0.004939
fn000126	N000060	comp-p	1	10	M		N4a	358.4047	0.004148
fn000128	N000061	comp-p	1	11	M		N4a	337.5551	0.003907
fn000132	N000062	comp-p	1	11	F		N4a	232.7002	0.002693
fn000134	N000063	comp-p	1	10	F		N4a	312.7625	0.003620
fn000136	N000064	comp-p	1	10	M		N4a	445.2813	0.005154
fn000138	N000073	comp-p	1	12	M		N4a	280.7040	0.003249
fn000140	N000065	comp-p	1	11	F		N4a	334.3990	0.003870
fn000142	N000066	comp-p	1	11	M		N4a	372.6724	0.004313
fn000144	N000067	comp-p	1	11	F		N4a	396.0970	0.004584
fn000146	N000068	comp-p	1	13	M		N4a	341.3363	0.003951
fn000148	N000070	comp-p	1	9	M		N4a	459.2529	0.005315
fn000150	N000069	comp-p	1	8	F		N4a	398.4836	0.004612
fn000152	N000071	comp-p	1	12	F		N4a	271.1002	0.003138
fn000154	N000072	comp-p	1	13	M		N4a	270.3570	0.003129
fn000156	N000074	comp-p	1	13	M		N4a	259.4253	0.003003
fn000372	N000160	comp-p	2		F		N2c	226.7026	0.002624
fn000376	N000161	comp-p	2	14	M		N2c	293.1489	0.003393
fn000380	N000162	comp-p	2	15	M		N2c	236.2557	0.002734
fn000383	N000163	comp-p	2	14	F		N2c	235.2327	0.002723
fn000393	N000165	comp-p	2		M		N1b	249.9427	0.002893
fn000396	N000166	comp-p	2		F		N1b	237.2677	0.002746
fn000399	N000167	comp-p	2		M		N1b	297.0763	0.003438
fn000405	N000168	comp-p	2		M		N1b	221.9959	0.002569
fn000408	N000169	comp-p	2		F		N1b	242.6015	0.002808
fn000411	N000170	comp-p	2		F		N1b	266.8518	0.003089
fn000414	N000171	comp-p	2		M		N1b	261.8430	0.003031
fn000417	N000172	comp-p	2		M		N1b	215.1509	0.002490
fn000420	N000173	comp-p	2		M		N1b	240.9654	0.002789
fn000423	N000174	comp-p	2		F		N1b	272.3784	0.003153
fn000427	N000175	comp-p	2		M		N1b	247.3009	0.002862
fn000430	N000176	comp-p	2		M		N1b	228.7428	0.002647
fn000433	N000177	comp-p	2		M		N1b	268.9833	0.003113
fn000436	N000178	comp-p	2		F		N1b	233.0707	0.002698
fn000439	N000179	comp-p	2		F		N1b	253.2529	0.002931
fn000442	N000180	comp-p	2		F		N1b	291.0159	0.003368
fn000445	N000181	comp-p	2		M		N1b	258.9233	0.002997
fn000449	N000182	comp-p	2		F		N1b	269.9958	0.003125
fn000452	N000183	comp-p	2		F		N1b	282.9389	0.003275
fn000455	N000184	comp-p	2		M		N1b	290.8838	0.003367
fn000490	N000193	comp-p	1		M		N3b	237.1273	0.002745
fn000493	N000194	comp-p	1	9	F		N3b	273.8131	0.003169
fn000500	N000196	comp-p	1	11	F		N3b	378.1951	0.004377
fn000502	N000197	comp-p	1	10	M		N3b	282.0420	0.003264
fn000506	N000198	comp-p	1	10	F		N3b	287.4983	0.003328
fn000509	N000199	comp-p	1	11	F		N3b	266.9577	0.003090
fn000514	N000200	comp-p	1	11	F		N3b	274.3295	0.003175
fn000517	N000201	comp-p	1	9	F		N3b	340.8529	0.003945
fn000520	N000202	comp-p	1	8	F		N3b	367.9587	0.004259
fn000523	N000203	comp-p	1	8	F		N3b	327.2306	0.003787
fn000527	N000204	comp-p	1	8	M		N3b	294.9435	0.003414
fn000530	N000205	comp-p	1	8	M		N3b	270.4054	0.003130
fn000533	N000206	comp-p	1	11	F		N3b	276.5659	0.003201
fn000536	N000207	comp-p	1	10	M		N3b	247.3538	0.002863
fn000539	N000208	comp-p	1		M		N3b	290.0311	0.003357
fn000542	N000209	comp-p	1		M		N3b	276.4870	0.003200
fn000545	N000210	comp-p	1	7	M		N3b	270.3933	0.003130
fn000548	N000211	comp-p	1	7	M		N3b	271.4798	0.003142
fn000551	N000212	comp-p	1	6	F		N3b	529.1293	0.006124
fn000554	N000213	comp-p	1	7	F		N3b	374.5864	0.004335
fn000557	N000214	comp-p	1	11	M		N3b	349.1108	0.004041
fn000560	N000215	comp-p	1	12	M		N3b	241.2407	0.002792
fn000565	N000216	comp-p	4	43	M	A2	N4a	522.5662	0.006048
fn000568	N000217	comp-p	4	38	F	A2	N4a	335.9710	0.003889
fn000571	N000218	comp-p	4	25	M	A2	N4a	619.3760	0.007169
fn000574	N000219	comp-p	4	25	M	A2	N4a	364.8951	0.004223
fn000578	N000220	comp-p	3	16	F		N4a	347.5962	0.004023
fn000581	N000221	comp-p	3	18	F		N4a	281.1185	0.003254
fn000584	N000222	comp-p	3	16	F		N4a	257.0586	0.002975
fn000587	N000223	comp-p	3	16	F		N4a	315.3853	0.003650
fn000590	N000224	comp-p	3	18	M		N4a	317.1712	0.003671
fn000593	N000225	comp-p	3	16	M		N4a	308.9920	0.003576
fn000596	N000226	comp-p	3	18	M		N4a	265.6971	0.003075
fn000599	N000227	comp-p	3	17	F		N4a	402.6272	0.004660
fn000602	N000228	comp-p	3	14	F		N4a	366.0831	0.004237
fn000605	N000229	comp-p	3	15	F		N4a	287.3609	0.003326
fn000608	N000230	comp-p	3	14	F		N4a	246.0442	0.002848
fn000611	N000231	comp-p	3	13	M		N4a	243.4740	0.002818
fn000614	N000232	comp-p	3	15	M		N4a	540.3715	0.006254
fn000618	N000233	comp-p	3	13	F		N4a	276.8746	0.003205
fn000621	N000234	comp-p	3	13	M		N4a	278.8721	0.003228
fn000624	N000235	comp-p	3	14	M		N4a	271.4541	0.003142
fn000627	N000236	comp-p	3	12	M		N4a	286.9732	0.003321
fn000630	N000237	comp-p	3	14	F		N4a	278.7779	0.003227
fn000633	N000238	comp-p	3	15	F		N4a	321.0901	0.003716
fn000635	N000239	comp-p	2	12	F		N3b	250.5372	0.002900
fn000638	N000240	comp-p	2	12	F		N3b	233.7631	0.002706
fn000640	N000241	comp-p	2	12	M		N3b	391.1120	0.004527
fn000642	N000242	comp-p	2	12	M		N3b	283.9860	0.003287
fn000644	N000243	comp-p	2	12	M		N3b	279.1733	0.003231
fn000646	N000244	comp-p	2	17	F		N3b	230.3246	0.002666
fn000648	N000245	comp-p	2	16	F		N3b	285.5719	0.003305
fn000650	N000246	comp-p	2	16	F		N3b	234.7171	0.002717
fn000652	N000247	comp-p	2	18	M		N3b	277.7326	0.003214
fn000654	N000248	comp-p	2	13	F		N3b	249.0437	0.002882
fn000656	N000249	comp-p	2	13	F		N3b	294.3761	0.003407
fn000658	N000250	comp-p	2	13	F		N3b	263.6378	0.003051
fn000660	N000251	comp-p	2	13	M		N3b	286.8687	0.003320
fn000662	N000252	comp-p	2	13	M		N3b	274.3699	0.003176
fn000664	N000253	comp-p	2		M		N3b	226.8158	0.002625
fn000666	N000254	comp-p	2	14	F		N3b	247.0316	0.002859
fn000668	N000255	comp-p	2	14	F		N3b	246.8320	0.002857
fn000670	N000256	comp-p	2	18	M		N3b	228.5809	0.002646
fn000672	N000257	comp-p	2	14	M		N3b	236.5683	0.002738
fn000674	N000258	comp-p	2	15	M		N3b	245.2602	0.002839
fn000678	N000259	comp-p	4	31	F	A2	N4a	639.9144	0.007406
fn000681	N000260	comp-p	4	34	M	A2	N4a	437.9432	0.005069
fn000684	N000261	comp-p	4	26	M	B1	N4a	682.7487	0.007902
fn000687	N000262	comp-p	4	29	F	B1	N4a	370.2269	0.004285
fn000690	N000263	comp-p	4	34	F	A2	N4a	314.2390	0.003637
fn000693	N000264	comp-p	4	29	F	A2	N4a	564.9974	0.006539
fn000695	N000265	comp-p	2	13	M		N4a	259.0917	0.002999
fn000697	N000266	comp-p	2	15	M		N4a	240.2143	0.002780
fn000699	N000267	comp-p	2	15	M		N4a	240.4521	0.002783
fn000701	N000268	comp-p	2	15	M		N4a	224.0702	0.002593
fn000703	N000269	comp-p	2	14	M		N4a	206.2916	0.002388
fn000705	N000270	comp-p	2	14	M		N4a	277.8509	0.003216
fn000707	N000271	comp-p	2	16	F		N4a	222.5135	0.002575
fn000709	N000272	comp-p	2	16	F		N4a	302.8331	0.003505
fn000714	N000273	comp-p	2	16	F		N4a	311.1620	0.003601
fn000717	N000274	comp-p	2	16	F		N4a	245.2763	0.002839
fn000721	N000275	comp-p	2	13	F		N4a	235.1186	0.002721
fn000725	N000276	comp-p	2	12	M		N4a	238.7713	0.002764
fn000727	N000277	comp-p	2	12	F		N4a	282.6039	0.003271
fn000729	N000278	comp-p	2	12	M		N4a	293.4212	0.003396
fn000731	N000279	comp-p	2	12	F		N4a	237.2644	0.002746
fn000733	N000280	comp-p	2	14	F		N4a	253.5759	0.002935
fn000735	N000281	comp-p	2	15	F		N4a	230.3560	0.002666
fn000737	N000282	comp-p	2	14	M		N4a	234.4446	0.002713
fn000739	N000283	comp-p	2	13	F		N4a	231.5550	0.002680
fn000744	N000284	comp-p	3	15	M		N4a	354.6233	0.004104
fn000746	N000285	comp-p	3	15	M		N4a	259.3488	0.003002
fn000749	N000286	comp-p	3	17	F		N4a	319.0462	0.003693
fn000751	N000287	comp-p	3	15	M		N4a	333.5304	0.003860
fn000753	N000288	comp-p	3	13	F		N4a	303.9621	0.003518
fn000755	N000289	comp-p	3	14	F		N4a	316.6700	0.003665
fn000757	N000290	comp-p	3	15	F		N4a	302.3811	0.003500
fn000759	N000291	comp-p	3	16	F		N4a	535.2763	0.006195
fn000761	N000292	comp-p	3	16	F		N4a	422.0235	0.004885
fn000763	N000293	comp-p	3	16	F		N4a	254.5519	0.002946
fn000767	N000294	comp-p	3	13	M		N4a	243.3224	0.002816
fn000770	N000295	comp-p	3	16	F		N4a	281.5709	0.003259
fn000772	N000296	comp-p	3	16	F		N4a	316.3117	0.003661
fn000774	N000297	comp-p	3	14	F		N4a	314.5738	0.003641
fn000776	N000298	comp-p	3	15	F		N4a	302.4370	0.003500
fn000778	N000299	comp-p	3	13	F		N4a	346.1777	0.004007
fn000781	N000300	comp-p	3	17	M		N4a	331.2676	0.003834
fn000783	N000301	comp-p	3	14	M		N4a	342.2575	0.003961
fn000787	N000302	comp-p	3	15	M		N4a	455.6890	0.005274
fn000790	N000303	comp-p	3	12	M		N4a	332.1456	0.003844
fn000792	N000304	comp-p	3	13	M		N4a	285.3975	0.003303
fn000794	N000305	comp-p	3	11	F		N4a	266.6565	0.003086
fn000796	N000306	comp-p	3	15	F		N4a	335.7057	0.003885
fn000798	N000307	comp-p	3	13	F		N4a	345.1495	0.003995
fn000800	N000308	comp-p	3	14	M		N4a	326.0774	0.003774
fn000802	N000309	comp-p	3	13	M		N4a	428.9464	0.004965
fn000806	N000311	comp-p	3	15	M		N4a	287.8608	0.003332
fn000808	N000312	comp-p	3	15	M		N4a	282.0258	0.003264
fn000810	N000313	comp-p	3	14	F		N4a	329.0778	0.003809
fn000812	N000314	comp-p	3	14	M		N4a	523.2652	0.006056
fn000814	N000315	comp-p	3	14	M		N4a	337.9340	0.003911
fn000816	N000316	comp-p	3	13	M		N4a	444.7090	0.005147
fn000818	N000317	comp-p	3	15	F		N4a	400.6961	0.004638
fn000820	N000318	comp-p	3	13	M		N4a	395.8424	0.004582
fn000823	N000319	comp-p	4	35	M	A2	N4a	565.8800	0.006550
fn000826	N000320	comp-p	4	45	F	A2	N4a	556.2944	0.006439
fn000829	N000321	comp-p	4	44	F	A2	N4a	526.1221	0.006089
fn000832	N000322	comp-p	4	49	F	A2	N4a	848.3215	0.009819
fn000834	N000323	comp-p	4	55	M	B1	N4a	469.4912	0.005434
fn000836	N000324	comp-p	4	19	F	A2	N4a	965.9524	0.011180
fn000839	N000325	comp-p	4	49	M	B2 	N4a	756.9476	0.008761
fn000841	N000326	comp-p	4	47	F	B1	N4a	554.2632	0.006415
fn000843	N000327	comp-p	4	25	F	A2	N4a	331.9176	0.003842
fn000845	N000328	comp-p	4	27	F	A2	N4a	481.7684	0.005576
fn000847	N000329	comp-p	4	28	F	B1	N4a	1772.7544	0.020518
fn000850	N000330	comp-p	4	34	F	A1	N4a	462.6353	0.005355
fn000852	N000331	comp-p	4	44	M	A2	N4a	461.5676	0.005342
fn000854	N000332	comp-p	4	22	M	A2	N4a	517.8637	0.005994
fn000856	N000333	comp-p	4	32	F	B1	N4a	314.7995	0.003644
fn000859	N000334	comp-p	4	26	M	A2	N4a	538.1753	0.006229
fn000861	N000335	comp-p	4	34	F	B1	N4a	1045.9207	0.012106
fn000863	N000336	comp-p	4	29	F	A1	N4a	405.5987	0.004694
fn000867	N000338	comp-p	4	52	F	A2	N4a	760.2066	0.008799
fn000869	N000339	comp-p	4	25	F	A1	N4a	630.0353	0.007292
fn000872	N000340	comp-p	4	20	F	A2	N4a	567.9407	0.006573
fn000874	N000341	comp-p	4	27	F	A1	N4a	453.0733	0.005244
fn000876	N000342	comp-p	4	24	F	B1	N4a	626.0840	0.007246
fn000878	N000343	comp-p	4	37	F	A2	N4a	656.4441	0.007598
fn000880	N000344	comp-p	4	34	M	B1	N4a	608.7295	0.007045
fn000882	N000345	comp-p	4	29	F	A2	N4a	826.3988	0.009565
fn000884	N000346	comp-p	4	40	F	A2	N4a	524.7064	0.006073
fn000886	N000347	comp-p	4	36	M	A1	N4a	352.2160	0.004077
fn000888	N000348	comp-p	4	31	M	A1	N4a	457.1110	0.005291
fn000890	N000349	comp-p	4	42	M	A1	N4a	524.6455	0.006072
fn000892	N000350	comp-p	4	44	M	A1	N4a	1246.4042	0.014426
fn100002	N100001	comp-p	5	79	F		N4a	432.5963	0.005007
fn100011	N100004	comp-p	5	65	F		N4a	654.0905	0.007570
fn100014	N100005	comp-p	5	83	M		N4a	343.1874	0.003972
fn100018	N100007	comp-p	5	66	M		N4a	769.4189	0.008905
fn100021	N100008	comp-p	5	89	F		N4a	457.0331	0.005290
fn100028	N100009	comp-p	5	67	M		N4a	374.5752	0.004335
fn100064	N100015	comp-p	5	65	M		N3b	343.4942	0.003976
fn100067	N100018	comp-p	5	68	F		N3b	369.7168	0.004279
fn100070	N100017	comp-p	5	68	F		N3b	459.1409	0.005314
fn100074	N100019	comp-p	5	78	F		N3b	424.2332	0.004910
fn100078	N100020	comp-p	5	75	F		N3b	398.7529	0.004615
fn100083	N100021	comp-p	5	68	F		N1b	362.5983	0.004197
fn100087	N100022	comp-p	5	68	M		N1b	323.5821	0.003745
fn100090	N100023	comp-p	5	82	F		N1b	387.2670	0.004482
fn100093	N100024	comp-p	5	62	F		N1b	312.8014	0.003620
fn100096	N100025	comp-p	5	77	F		N1b	391.9321	0.004536
fn100130	N100029	comp-p	5	76	M		N2c	573.7088	0.006640
fn100133	N100030	comp-p	5	79	F		N2c	766.1759	0.008868
fn100137	N100031	comp-p	5	90	M		N2c	1123.4474	0.013003
fn100140	N100032	comp-p	5	85	F		N2c	969.6456	0.011223
fn100150	N100034	comp-p	5	75	M		N3b	493.8256	0.005716
fn100154	N100035	comp-p	5	93	F		N3b	867.8899	0.010045
fn100157	N100036	comp-p	5	85	F		N3b	580.2033	0.006715
fn100160	N100037	comp-p	5	88	F		N3b	737.6405	0.008538
fn100166	N100038	comp-p	5	75	F		N3b	405.8072	0.004697
fn100169	N100039	comp-p	5	70	M		N3b	701.7639	0.008122
fn100177	N100040	comp-p	5	76	F		N3b	433.2202	0.005014
fn100180	N100041	comp-p	5	78	F		N3b	387.0898	0.004480
fn100182	N100042	comp-p	5	84	F		N3b	470.4788	0.005445
fn100185	N100043	comp-p	5	78	F		N3b	606.4604	0.007019
fn100188	N100044	comp-p	5	66	M		N3b	428.2897	0.004957
fn100191	N100045	comp-p	5	80	F		N3b	602.2767	0.006971
fn100201	N100046	comp-p	5	84	F		N1b	440.2060	0.005095
fn100208	N100047	comp-p	5	59	F		N1b	536.5501	0.006210
fn100212	N100048	comp-p	5	94	M		N4a	624.0702	0.007223
fn100216	N100049	comp-p	5	92	F		N4a	741.1153	0.008578
fn100220	N100050	comp-p	5	84	M		N4a	820.0716	0.009492
fn100223	N100051	comp-p	5	78	F		N4a	813.1867	0.009412
fn100226	N100052	comp-p	5	65	F		N4a	378.1257	0.004376
fn100230	N100053	comp-p	5	68	F		N2c	442.7256	0.005124
fn100233	N100054	comp-p	5	83	M		N2c	790.3713	0.009148
fn100236	N100055	comp-p	5	81	F		N2c	623.3327	0.007214
fn100239	N100056	comp-p	5	88	M		N2c	407.8371	0.004720
fn100243	N100057	comp-p	5	83	M		N2c	418.3367	0.004842
fn100246	N100058	comp-p	5	80	F		N2c	677.2985	0.007839
fn100249	N100059	comp-p	5	67	M		N2c	380.6954	0.004406
fn100253	N100060	comp-p	5	86	M		N2c	412.3379	0.004772
fn100256	N100061	comp-p	5	84	F		N2c	693.4051	0.008026
fn100259	N100062	comp-p	5	88	F		N2c	569.5127	0.006592
fn100262	N100063	comp-p	5	78	F		N2c	413.3254	0.004784
fn100265	N100064	comp-p	5	88	F		N2c	505.9110	0.005855
fn100268	N100065	comp-p	5	90	M		N2c	500.2962	0.005790
fn100271	N100067	comp-p	5	78	M		N4a	421.4202	0.004878
fn100274	N100068	comp-p	5	75	F		N4a	637.9348	0.007384
fn100278	N100069	comp-p	5	85	F		N4a	579.7088	0.006710
fn100282	N100070	comp-p	5	96	F		N4a	738.2543	0.008545
fn100289	N100066	comp-p	5	79	F		N4a	613.9115	0.007105
fn100294	N100072	comp-p	5	92	M		N1b	350.1543	0.004053
fn100297	N100073	comp-p	5	83	F		N1b	427.7473	0.004951
fn100300	N100074	comp-p	5	82	F		N1b	470.2046	0.005442
fn100303	N100075	comp-p	5	91	F		N1b	535.0166	0.006192
fn100306	N100076	comp-p	5	74	M		N1b	822.5166	0.009520
fn100309	N100077	comp-p	5	84	M		N1b	622.6029	0.007206
fn100313	N100078	comp-p	5	78	F		N1b	517.0328	0.005984
fn100316	N100079	comp-p	5	68	F		N1b	358.6639	0.004151
fn100319	N100080	comp-p	5	74	F		N1b	647.8347	0.007498
fn100322	N100081	comp-p	5	74	F		N1b	559.5243	0.006476
fn100326	N100082	comp-p	5	95	M		N1b	934.2412	0.010813
fn000030	N000016	comp-q	4	28	M	A1	N4a	562.8143	0.006514
fn000037	N000019	comp-q	4	23	M	A1	N4a	524.9182	0.006075
fn000043	N000022	comp-q	4	21	F	A2	N4a	473.2147	0.005477
fn000047	N000024	comp-q	4	26	F	A2	N4a	757.9629	0.008773
fn000049	N000025	comp-q	1	8	F		N2c	447.6714	0.005181
fn000051	N000026	comp-q	1	8	M		N2c	619.9243	0.007175
fn000060	N000028	comp-q	1	10	M		N2c	398.5316	0.004613
fn000062	N000029	comp-q	1	10	M		N2c	519.6094	0.006014
fn000064	N000030	comp-q	1	9	F		N2c	479.7106	0.005552
fn000066	N000031	comp-q	1	8	F		N2c	552.3304	0.006393
fn000068	N000032	comp-q	1	8	F		N2c	388.9818	0.004502
fn000070	N000033	comp-q	1	8	F		N2c	287.7241	0.003330
fn000073	N000034	comp-q	1	8	F		N2c	369.0690	0.004272
fn000074	N000027	comp-q	1	9	M		N2c	421.0672	0.004873
fn000076	N000036	comp-q	1	8	M		N2c	355.5094	0.004115
fn000078	N000037	comp-q	1	8	F		N2c	364.7055	0.004221
fn000080	N000038	comp-q	1	8	F		N2c	381.8250	0.004419
fn000082	N000039	comp-q	1	9	F		N2c	556.1234	0.006437
fn000084	N000040	comp-q	1	10	M		N2c	386.4054	0.004472
fn000087	N000041	comp-q	1	10	M		N2c	383.5823	0.004440
fn000090	N000042	comp-q	1	10	F		N2c	367.3859	0.004252
fn000092	N000043	comp-q	1	10	M		N2c	377.6603	0.004371
fn000094	N000044	comp-q	1	11	M		N2c	567.0397	0.006563
fn000096	N000045	comp-q	1	12	M		N2c	414.4326	0.004797
fn000098	N000046	comp-q	1	13	M		N2c	469.7241	0.005437
fn000100	N000047	comp-q	1	11	M		N2c	460.2655	0.005327
fn000102	N000048	comp-q	1	10	M		N2c	445.8268	0.005160
fn000104	N000049	comp-q	1	10	F		N2c	358.7744	0.004152
fn000106	N000050	comp-q	1	12	F		N2c	528.7372	0.006120
fn000108	N000054	comp-q	1	11	F		N2c	633.1758	0.007328
fn000110	N000051	comp-q	1	11	F		N2c	424.3305	0.004911
fn000112	N000052	comp-q	1	11	M		N2c	410.8643	0.004755
fn000115	N000053	comp-q	1	11	F		N2c	404.4592	0.004681
fn000117	N000055	comp-q	1	9	M		N4a	402.0788	0.004654
fn000119	N000056	comp-q	1	9	M		N4a	363.3345	0.004205
fn000121	N000057	comp-q	1	9	F		N4a	273.9968	0.003171
fn000123	N000058	comp-q	1	9	F		N4a	252.9788	0.002928
fn000125	N000059	comp-q	1	8	F		N4a	262.5847	0.003039
fn000127	N000060	comp-q	1	10	M		N4a	316.7190	0.003666
fn000129	N000061	comp-q	1	11	M		N4a	505.4925	0.005851
fn000133	N000062	comp-q	1	11	F		N4a	318.1945	0.003683
fn000135	N000063	comp-q	1	10	F		N4a	287.7203	0.003330
fn000137	N000064	comp-q	1	10	M		N4a	367.1038	0.004249
fn000139	N000073	comp-q	1	12	M		N4a	247.2782	0.002862
fn000141	N000065	comp-q	1	11	F		N4a	255.6627	0.002959
fn000143	N000066	comp-q	1	11	M		N4a	241.9385	0.002800
fn000145	N000067	comp-q	1	11	F		N4a	469.0317	0.005429
fn000147	N000068	comp-q	1	13	M		N4a	361.5364	0.004184
fn000149	N000070	comp-q	1	9	M		N4a	500.8224	0.005797
fn000151	N000069	comp-q	1	8	F		N4a	230.2135	0.002665
fn000153	N000071	comp-q	1	12	F		N4a	419.0109	0.004850
fn000155	N000072	comp-q	1	13	M		N4a	300.9573	0.003483
fn000157	N000074	comp-q	1	13	M		N4a	511.2260	0.005917
fn000373	N000160	comp-q	2		F		N2c	310.6630	0.003596
fn000377	N000161	comp-q	2	14	M		N2c	353.4763	0.004091
fn000381	N000162	comp-q	2	15	M		N2c	473.8622	0.005485
fn000384	N000163	comp-q	2	14	F		N2c	386.4887	0.004473
fn000394	N000165	comp-q	2		M		N1b	428.3859	0.004958
fn000397	N000166	comp-q	2		F		N1b	372.4357	0.004311
fn000402	N000167	comp-q	2		M		N1b	374.6336	0.004336
fn000406	N000168	comp-q	2		M		N1b	329.2060	0.003810
fn000409	N000169	comp-q	2		F		N1b	314.3239	0.003638
fn000412	N000170	comp-q	2		F		N1b	429.2375	0.004968
fn000415	N000171	comp-q	2		M		N1b	487.9282	0.005647
fn000418	N000172	comp-q	2		M		N1b	362.1418	0.004191
fn000421	N000173	comp-q	2		M		N1b	383.5752	0.004440
fn000425	N000174	comp-q	2		F		N1b	378.8253	0.004385
fn000428	N000175	comp-q	2		M		N1b	434.5497	0.005030
fn000431	N000176	comp-q	2		M		N1b	495.3398	0.005733
fn000434	N000177	comp-q	2		M		N1b	410.6533	0.004753
fn000437	N000178	comp-q	2		F		N1b	370.8173	0.004292
fn000440	N000179	comp-q	2		F		N1b	324.5583	0.003756
fn000443	N000180	comp-q	2		F		N1b	396.5589	0.004590
fn000447	N000181	comp-q	2		M		N1b	353.0687	0.004086
fn000450	N000182	comp-q	2		F		N1b	429.9819	0.004977
fn000453	N000183	comp-q	2		F		N1b	390.6168	0.004521
fn000456	N000184	comp-q	2		M		N1b	449.3566	0.005201
fn000491	N000193	comp-q	1		M		N3b	489.7995	0.005669
fn000494	N000194	comp-q	1	9	F		N3b	561.8799	0.006503
fn000497	N000195	comp-q	1	9	M		N3b	544.3305	0.006300
fn000499	N000196	comp-q	1	11	F		N3b	453.9116	0.005254
fn000503	N000197	comp-q	1	10	M		N3b	596.3685	0.006902
fn000507	N000198	comp-q	1	10	F		N3b	500.8661	0.005797
fn000510	N000199	comp-q	1	11	F		N3b	482.6873	0.005587
fn000515	N000200	comp-q	1	11	F		N3b	460.0063	0.005324
fn000518	N000201	comp-q	1	9	F		N3b	559.8041	0.006479
fn000521	N000202	comp-q	1	8	F		N3b	480.8774	0.005566
fn000524	N000203	comp-q	1	8	F		N3b	630.9791	0.007303
fn000531	N000205	comp-q	1	8	M		N3b	640.4453	0.007413
fn000534	N000206	comp-q	1	11	F		N3b	464.1565	0.005372
fn000537	N000207	comp-q	1	10	M		N3b	448.2231	0.005188
fn000540	N000208	comp-q	1		M		N3b	611.1592	0.007074
fn000543	N000209	comp-q	1		M		N3b	507.0075	0.005868
fn000546	N000210	comp-q	1	7	M		N3b	448.2443	0.005188
fn000549	N000211	comp-q	1	7	M		N3b	672.6919	0.007786
fn000552	N000212	comp-q	1	6	F		N3b	433.3920	0.005016
fn000555	N000213	comp-q	1	7	F		N3b	433.8992	0.005022
fn000558	N000214	comp-q	1	11	M		N3b	451.6905	0.005228
fn000561	N000215	comp-q	1	12	M		N3b	459.1548	0.005314
fn000569	N000217	comp-q	4	38	F	A2	N4a	435.1618	0.005037
fn000572	N000218	comp-q	4	25	M	A2	N4a	459.0047	0.005313
fn000575	N000219	comp-q	4	25	M	A2	N4a	445.5786	0.005157
fn000579	N000220	comp-q	3	16	F		N4a	566.9806	0.006562
fn000582	N000221	comp-q	3	18	F		N4a	378.6266	0.004382
fn000585	N000222	comp-q	3	16	F		N4a	635.7172	0.007358
fn000588	N000223	comp-q	3	16	F		N4a	503.1803	0.005824
